Gene;Waves;Gene.Clusters;q.val;ABCs
Pdpn;3;Clust.3;3.18813686783738e-296;93.037
1700086L19Rik;3;Clust.3;3.00176266383044e-74;23.16
Irx3;3;Clust.3;4.59505886086e-62;19.51
Myb;3;Clust.3;5.94751175751658e-100;37.779
Rasgef1b;3;Clust.3;3.00275833950659e-43;27.298
D430041D05Rik;3;Clust.3;1.06997180029931e-50;17.751
Wscd1;3;Clust.3;1.41606080481952e-98;59.881
Pnpla2;3;Clust.3;9.86743677291028e-48;38.928
Tex15;3;Clust.3;3.09739151848566e-50;25.12
Fam204a;3;Clust.3;2.47850838830535e-277;150.521
Flrt1;3;Clust.3;3.46183215199721e-164;58.831
Lhfpl2;3;Clust.3;1.08035472403564e-109;45.918
Ccdc34;3;Clust.3;1.21166681383356e-76;132.61
Igsf21;3;Clust.3;2.92819363756411e-73;9.957
Ralgps2;3;Clust.3;1.9806782890107e-283;105.266
Cntrl;3;Clust.3;3.65217890284733e-117;67.453
Bfsp2;3;Clust.3;1.23803554927958e-116;24.183
Mycl;3;Clust.3;1.18309784729717e-59;47.641
Cep152;3;Clust.3;6.52327596313828e-67;25.903
Stox1;3;Clust.3;3.07860663771425e-78;24.756
Pam;3;Clust.3;2.53777806087812e-71;26.99
Nudc;3;Clust.3;1.00565204081195e-187;194.055
Pcm1;3;Clust.3;4.52861469389394e-105;122.414
Tbc1d9;3;Clust.3;6.46354554431686e-79;16.617
Pik3r1;3;Clust.3;1.75689178672106e-46;21.282
Galnt1;3;Clust.3;2.15719552092454e-152;92.654
Kcnq3;3;Clust.3;1.76323110293111e-42;12.174
A930011G23Rik;3;Clust.3;7.11253708391241e-41;9.36
Fam216a;3;Clust.3;4.71102115998138e-102;84.195
D430042O09Rik;3;Clust.3;9.9258738594495e-78;47.282
Hspa4l;3;Clust.3;5.35961452738257e-154;58.09
Trp73;4;Clust.4;0;193.156
Nr2f2;4;Clust.4;0;238.512
Sorbs2;4;Clust.4;3.09128719787547e-51;95.421
H3f3a;4;Clust.4;0;1075.286
Mlf1;4;Clust.4;0;121.011
Ubb;4;Clust.4;3.52697982742446e-64;307.136
Lhx5;4;Clust.4;4.52241611033701e-100;50.661
Lmo4;4;Clust.4;5.97882045655404e-198;124.825
Olfm1;4;Clust.4;1.37380431032419e-139;92.654
Cav2;4;Clust.4;4.83045682795863e-179;48.125
Plvap;4;Clust.4;1.36226996765725e-198;56.315
Dynlrb2;4;Clust.4;1.39011345747073e-91;28.148
Pidd1;4;Clust.4;7.70245217475834e-262;86.607
Sema6a;4;Clust.4;6.59143241179426e-313;147.862
Pou2f2;4;Clust.4;2.71049698032021e-52;35.587
Kctd1;4;Clust.4;1.47579682937166e-136;62.065
Nrep;4;Clust.4;2.32377640516556e-172;162.126
Carhsp1;4;Clust.4;5.37824734892005e-253;203.069
Cald1;4;Clust.4;2.73554865015447e-85;109.693
Zeb2;4;Clust.4;1.66664338767118e-84;61.692
Tekt1;4;Clust.4;1.09702140989727e-114;38.051
Nkain4;4;Clust.4;4.72280766176597e-166;42.918
Wrap73;4;Clust.4;7.32130266068301e-168;96.214
Hras;4;Clust.4;1.17320789875469e-190;155.994
1700007K13Rik;4;Clust.4;1.00877628608193e-178;42.266
Auts2;4;Clust.4;2.22482155874718e-121;149.901
Cxxc5;4;Clust.4;1.19666830443337e-256;106.427
Ccdc39;4;Clust.4;6.27771636424375e-96;35.989
Tulp4;4;Clust.4;1.19231063453756e-106;102.195
Scn3a;4;Clust.4;6.01687126169649e-299;87.863
Cadm1;4;Clust.4;4.31165554272869e-240;97.571
Mdm2;4;Clust.4;1.92337891636119e-146;94.671
Rsph1;4;Clust.4;5.16151875134714e-65;18.811
Nme5;4;Clust.4;1.24918821947599e-80;23.686
Lurap1l;4;Clust.4;3.99722580286275e-47;20.468
Dmrta2;4;Clust.4;6.15700076320224e-180;189.47
Trp53inp1;4;Clust.4;5.75580893627204e-74;44.879
Edil3;4;Clust.4;3.5807005615036e-270;86.619
Lrriq1;4;Clust.4;5.02442980305396e-63;20.091
Fam212a;4;Clust.4;4.03304804103224e-43;19.217
Ccdc17;4;Clust.4;3.07333846844002e-45;12.466
Cd151;4;Clust.4;3.40749746057261e-115;75.427
Hpcal1;4;Clust.4;3.63936018533385e-48;64.544
Spag6l;4;Clust.4;7.73028110777654e-62;17.475
Map9;4;Clust.4;1.91752696804263e-61;40.895
Btg1;4;Clust.4;2.41220110197595e-89;74.762
Cfap69;4;Clust.4;2.48041232213959e-54;17.603
Enkur;4;Clust.4;1.3169077731776e-59;14.882
Adgrb3;4;Clust.4;9.0698254170971e-49;17.845
Ypel3;4;Clust.4;6.70306416229715e-74;46.304
Cfap36;4;Clust.4;1.02548505659639e-91;72.469
Cblb;4;Clust.4;1.25415256554441e-169;60.827
Iqcg;4;Clust.4;9.36101225209399e-73;22.992
Spsb1;4;Clust.4;3.26271152083071e-57;20.416
Mbnl2;4;Clust.4;1.18788201520505e-89;46.308
Oscp1;4;Clust.4;2.47347336203458e-117;53.853
Clybl;4;Clust.4;5.7335414775958e-81;34.928
Rab11fip2;4;Clust.4;3.39532489263281e-80;37.838
1700088E04Rik;4;Clust.4;9.29001368538961e-45;19.595
Pacrg;4;Clust.4;7.32201907636006e-45;14.769
Efcab1;4;Clust.4;1.35612822044059e-71;21.322
Rpgr;4;Clust.4;4.51834534232168e-79;53.482
Ift22;4;Clust.4;1.92555794131747e-195;99.16
Ccpg1os;4;Clust.4;3.9408154627546e-81;39.487
Kit;4;Clust.4;6.09995677232303e-59;19.804
Dnah7a;4;Clust.4;1.44978804725797e-41;15.492
Dalrd3;4;Clust.4;6.93579051330965e-54;28.834
Pih1d2;4;Clust.4;1.76527887922454e-42;18.446
Tmem107;4;Clust.4;3.58266140755352e-137;46.449
H2afz;5;Clust.5;1.47877381424213e-64;467.725
Arl6ip1;5;Clust.5;2.33739350470208e-45;41.445
H2afx;5;Clust.5;5.0003584282832e-86;131.719
Ccnd2;5;Clust.5;9.3710707134798e-140;179.143
Mdk;5;Clust.5;0;633.365
Wnt8b;5;Clust.5;0;314.518
Id2;5;Clust.5;0;91.134
Otx2;5;Clust.5;0;112.296
H2afv;5;Clust.5;4.72794406337702e-207;268.197
Socs2;5;Clust.5;0;199.48
Tle1;5;Clust.5;0;272.294
Cdv3;5;Clust.5;1.97626258336499e-322;192.999
Smc4;5;Clust.5;6.35193454302019e-65;69.887
Serpinh1;5;Clust.5;0;290.535
Sulf2;5;Clust.5;0;161.893
Smc2;5;Clust.5;4.99755757965991e-43;48.325
Zfp36l1;5;Clust.5;1.060498885474e-158;110.676
Zic4;5;Clust.5;6.84789569853135e-287;103.498
Zic1;5;Clust.5;0;232.335
Nr4a2;5;Clust.5;2.32741744608315e-264;94.441
Rassf4;5;Clust.5;0;96.534
Khdrbs2;5;Clust.5;0;87.67
Bmp4;5;Clust.5;0;68.779
Epcam;5;Clust.5;4.16043775626926e-99;22.633
Slc16a2;5;Clust.5;0;84.699
Sp5;5;Clust.5;8.11097878783939e-81;59.498
Zic5;5;Clust.5;0;182.365
Six3;5;Clust.5;9.81583996386473e-117;18.237
Ccne1;5;Clust.5;1.039600706329e-76;14.942
Gsta4;5;Clust.5;2.83533900435595e-111;73.002
Rrm1;5;Clust.5;6.85903111334433e-89;38.442
Casz1;5;Clust.5;2.594156818231e-163;43.015
Zic3;5;Clust.5;4.23273432477257e-299;60.771
Fcgrt;5;Clust.5;5.5361114365853e-43;13.934
Mecom;5;Clust.5;3.53639322292352e-59;12.97
Ckap2;5;Clust.5;9.8379969058864e-45;6.128
