Gene;Waves;Gene.Clusters;q.val;ABCs
Irf2bpl;2;Clust.2;3.81336085121066e-135;48.18
Kdr;2;Clust.2;4.71921552637927e-86;13.229
Zfhx4;2;Clust.2;1.1230760605003e-61;43.855
Lmx1a;2;Clust.2;7.36157812303457e-322;56.267
Mid1ip1;2;Clust.2;2.3947163922587e-51;29.269
Adamts1;2;Clust.2;8.37738639606016e-105;25.06
Sgk1;2;Clust.2;3.61775845655246e-120;23.012
Mpp6;2;Clust.2;1.41631674813549e-58;41.349
Camk2d;2;Clust.2;1.16524602858631e-164;36.847
Rbm47;2;Clust.2;2.1558094965133e-56;8.863
Stx3;2;Clust.2;1.0776112946625e-102;16.924
Gm17455;2;Clust.2;8.25634215971376e-90;12.373
Dclk1;2;Clust.2;3.4599343293232e-80;59.654
Pgrmc1;2;Clust.2;2.16765944532795e-107;69.833
Cux2;2;Clust.2;9.61262719042385e-149;34.823
Prr7;2;Clust.2;1.68711835803964e-120;30.713
Plce1;2;Clust.2;1.69254655220702e-56;12.059
Lxn;2;Clust.2;1.10171983249875e-70;12.722
Emc2;2;Clust.2;5.87173571076022e-198;67.884
Galnt12;2;Clust.2;1.73854039886183e-57;10.405
Cacng4;2;Clust.2;1.8351762378661e-70;55.288
Cdh2;2;Clust.2;1.60746485115472e-62;90.593
Hspa4l;2;Clust.2;1.89423101102398e-70;38.29
Bcl2;2;Clust.2;1.59259623088378e-53;11.596
Slc17a8;2;Clust.2;1.16481275085606e-57;7.32
Arf1;2;Clust.2;5.12890459456245e-79;65.829
Lrp2;2;Clust.2;5.38678008274533e-74;8.317
Nenf;2;Clust.2;5.18167905390927e-84;47.109
Cers4;2;Clust.2;3.21841342967403e-61;36.43
Dfna5;2;Clust.2;6.30255989780068e-43;27.346
Tox2;2;Clust.2;2.24527653674962e-54;10.3
Nfat5;2;Clust.2;2.25692186790728e-59;29
Psap;2;Clust.2;1.90426688570419e-61;42.449
Gria3;2;Clust.2;1.93642231165902e-48;6.816
Tmx4;2;Clust.2;3.708286480001e-46;26.061
Ift22;2;Clust.2;6.61408790467855e-43;21.73
Nos1ap;2;Clust.2;3.01444452155231e-42;12.42
Cxadr;2;Clust.2;7.61015307757558e-45;42.438
Sri;2;Clust.2;6.73347337833225e-55;25.824
Rspo3;3;Clust.3;0;2184.355
mt-Co3;3;Clust.3;4.92765173654289e-125;878.455
Cenpw;3;Clust.3;0;458.5
Mdk;3;Clust.3;9.14926575919892e-250;594.265
H3f3b;3;Clust.3;1.92933022638079e-147;260.468
Tnnt1;3;Clust.3;1.1209586476979e-57;6.609
mt-Nd4;3;Clust.3;1.38931642638857e-61;344.854
Otx2;3;Clust.3;0;160.581
Id2;3;Clust.3;6.91867463149767e-237;30.118
Zic4;3;Clust.3;4.042232804637e-91;118.469
Zbtb20;3;Clust.3;3.33370890871124e-83;122.443
Sulf2;3;Clust.3;0;153.898
Wnt5a;3;Clust.3;9.78576835556339e-178;88.006
Jam3;3;Clust.3;8.778778257717e-168;107.241
Zic1;3;Clust.3;3.91838530574922e-105;192.443
Khdrbs2;3;Clust.3;1.62418798593605e-247;92.539
Klhl13;3;Clust.3;0;147.822
Bfsp2;3;Clust.3;3.61700586739787e-97;23.235
Palmd;3;Clust.3;1.01643583559685e-111;31.681
Flrt1;3;Clust.3;1.58149147674333e-69;23.407
Nr4a2;3;Clust.3;5.2297166392013e-111;65.447
Pmepa1;3;Clust.3;5.93222651688763e-76;83.84
Sp5;3;Clust.3;1.60633434742382e-79;74.13
Maf;3;Clust.3;5.89326391519173e-46;17.769
Gm3764;3;Clust.3;2.97404302826616e-52;140.965
Igsf21;3;Clust.3;1.21274633934549e-65;12.133
Dmrta2;3;Clust.3;1.9823720348481e-51;90.516
Zic3;3;Clust.3;4.7123718626679e-117;67
Prelp;3;Clust.3;1.48623086709752e-52;19.22
Prdx6;3;Clust.3;1.83878349406794e-86;15.269
Fzd10;3;Clust.3;3.85627959177491e-144;36.313
Tnfaip8;3;Clust.3;2.74431238330475e-47;45.298
Lrp8;3;Clust.3;9.52652130910433e-80;28.698
Reep3;3;Clust.3;7.07216458380596e-122;94.136
Klhdc8b;3;Clust.3;2.98395007970533e-197;71.126
Slit3;3;Clust.3;2.05651702201282e-63;13.238
Tead1;3;Clust.3;1.63127312576892e-86;58.865
Smarca2;3;Clust.3;7.56495508804764e-95;64.319
Casz1;3;Clust.3;5.52004536720353e-126;31.59
Ctnnb1;3;Clust.3;4.79053982091308e-70;127.624
Ptprf;3;Clust.3;8.44353251190116e-45;54.532
Jmjd1c;3;Clust.3;1.90206120429489e-42;52.994
Fzd3;3;Clust.3;3.7008983485603e-75;63.682
Laptm4a;3;Clust.3;1.35198885854587e-99;90.063
Tnrc6b;3;Clust.3;3.88121224832028e-47;46.326
Ikzf2;3;Clust.3;3.52657733561554e-48;20.784
Eif3e;3;Clust.3;2.93515526802148e-65;96.691
Mgst1;3;Clust.3;7.75184274807304e-57;26.382
Enah;3;Clust.3;7.64723927023748e-45;75.022
Dmrt3;3;Clust.3;2.47819362491801e-52;42.048
Cacna1g;3;Clust.3;1.49479449038648e-42;18.818
Sox11;4;Clust.4;2.74857462015894e-49;533.522
Gmnc;4;Clust.4;2.98020248991784e-70;183.116
Igfbpl1;4;Clust.4;6.59426545901923e-42;263.427
Nr2f2;4;Clust.4;0;164.389
Calm1;4;Clust.4;4.78443250471423e-53;122.975
Kit;4;Clust.4;1.10293224428827e-92;68.923
Olfm1;4;Clust.4;5.4603101694129e-58;34.342
Camk2n1;4;Clust.4;7.04305468747573e-41;38.282
Runx1t1;4;Clust.4;1.00871277298009e-111;52.301
Tex15;4;Clust.4;7.45210975597433e-42;33.59
Pax6;4;Clust.4;4.70764572972236e-92;12.192
Scn3a;4;Clust.4;6.18281897472403e-170;68.013
Ttc28;4;Clust.4;9.43263798116961e-102;94.923
Fam204a;4;Clust.4;2.56000824877522e-158;145.027
Edil3;4;Clust.4;4.50913780274799e-69;35.235
Cblb;4;Clust.4;8.66277980165417e-82;58.534
Epb41;4;Clust.4;2.72038383364548e-48;77.167
Csrnp3;4;Clust.4;1.56597226380166e-90;46.514
Cep112;4;Clust.4;1.58546092414199e-66;48.905
Phyh;4;Clust.4;6.58249277413084e-44;40.421
Rnf146;4;Clust.4;3.15897160248772e-46;42.149
Id1;5;Clust.5;0;288.856
Ezr;5;Clust.5;0;479.245
Hes5;5;Clust.5;1.92120651196517e-130;140.426
mt-Cytb;5;Clust.5;4.71288251474575e-46;272.603
Serpine2;5;Clust.5;6.14931219617564e-55;24.58
Rspo2;5;Clust.5;0;296.852
Ptn;5;Clust.5;1.17013332836103e-81;94.841
Wnt8b;5;Clust.5;0;374.444
H1fx;5;Clust.5;1.13706354362473e-45;0.949
Sparc;5;Clust.5;0;250.686
Pcsk1n;5;Clust.5;1.26066893905266e-206;172.117
Vim;5;Clust.5;2.90456200149047e-45;75.113
Wls;5;Clust.5;0;264.88
Rhoc;5;Clust.5;2.48435475289167e-317;131.072
Lmo2;5;Clust.5;0;181.362
Cdv3;5;Clust.5;1.68826486296543e-264;230.342
Hes1;5;Clust.5;1.04472890018734e-83;89.965
Lrp1b;5;Clust.5;0;131.749
Sox2;5;Clust.5;2.18656682022728e-205;188.837
Socs2;5;Clust.5;1.29642949077924e-286;196.876
Tle1;5;Clust.5;0;167.415
Rhcg;5;Clust.5;2.54888983569946e-90;34.575
Dkk3;5;Clust.5;2.23797135924086e-257;80.669
Zfp36l1;5;Clust.5;4.83010132240251e-111;129.466
Serpinh1;5;Clust.5;6.34130156524363e-76;86.475
Tpbg;5;Clust.5;1.03548943797852e-142;59.464
Rassf4;5;Clust.5;0;104.782
Cachd1;5;Clust.5;1.00575917826616e-133;102.955
Gnai2;5;Clust.5;5.78783795195537e-64;20.998
Axin2;5;Clust.5;8.084669446316e-246;127.935
Igfbp5;5;Clust.5;2.6385004806358e-191;89.907
Pygl;5;Clust.5;5.18057950828185e-165;30.381
Slc16a2;5;Clust.5;4.60708706780999e-233;83.569
Bmp4;5;Clust.5;5.28564656567745e-189;33.023
Ifitm2;5;Clust.5;4.83414665058575e-57;87.086
Kcnk2;5;Clust.5;7.48513789254367e-151;65.604
Msx1;5;Clust.5;1.46018735280225e-99;28.31
Six3;5;Clust.5;1.27512617148371e-46;14.722
Car10;5;Clust.5;8.02842324438419e-61;11.632
Cd63;5;Clust.5;1.58218889233955e-164;144.827
Notch2;5;Clust.5;2.83853278900966e-106;41.983
Msx2;5;Clust.5;1.79331766957487e-175;24.572
Ccdc3;5;Clust.5;1.54953029651446e-238;28.959
Asb4;5;Clust.5;1.61029717049535e-53;16.017
Lrrtm3;5;Clust.5;7.92687344832237e-189;26.578
Nxn;5;Clust.5;2.39813710244792e-189;52.067
Maged1;5;Clust.5;1.3972496241787e-119;83.545
Tpm1;5;Clust.5;3.37583424617702e-82;48.523
Zfhx3;5;Clust.5;6.5549782423685e-81;35.352
Col2a1;5;Clust.5;1.1696668350967e-85;41.298
Pdpn;5;Clust.5;7.06572770842163e-48;23.056
Arl4a;5;Clust.5;3.39083929434715e-116;55.865
Sertm1;5;Clust.5;1.60985064812471e-184;33.647
Tmem47;5;Clust.5;3.81676842486493e-183;70.095
Plxdc2;5;Clust.5;3.34978585716807e-196;40.933
Wnt9a;5;Clust.5;1.27218246858417e-187;32.676
Msi2;5;Clust.5;8.22992078877161e-124;113.308
Wnt3a;5;Clust.5;2.01710262032434e-221;27.778
Luzp2;5;Clust.5;1.41530651154845e-91;25.742
Rfx4;5;Clust.5;1.18336959073032e-68;47.868
Folr1;5;Clust.5;8.03076796418891e-139;27.904
Pvrl3;5;Clust.5;8.23667090015913e-78;52.507
Emb;5;Clust.5;7.22319607844634e-65;25.356
Vldlr;5;Clust.5;1.33696163830995e-94;26.258
4931429I11Rik;5;Clust.5;6.55632281777447e-58;7.888
Tmem132c;5;Clust.5;5.59308855858035e-105;56.934
Fam129a;5;Clust.5;5.14810646569601e-85;16.049
Fstl1;5;Clust.5;4.15541239128761e-101;55.718
Slc1a3;5;Clust.5;4.26976344067512e-65;25.234
Unc5c;5;Clust.5;2.00366951963255e-116;22.078
Ptpre;5;Clust.5;3.67557505832842e-47;14.208
Zcchc18;5;Clust.5;2.3207641708132e-145;63.058
Ppfibp2;5;Clust.5;1.09285823195672e-74;12.282
Tenm4;5;Clust.5;2.40497502818756e-44;75.14
AI854517;5;Clust.5;5.63737652044518e-116;63.759
Sall3;5;Clust.5;2.46324424508288e-48;12.974
Ooep;5;Clust.5;3.22091174391849e-41;25.912
Hs2st1;5;Clust.5;2.07989426264057e-55;60.772
E030030I06Rik;5;Clust.5;7.38319894511094e-93;29.125
Palld;5;Clust.5;7.23315630246565e-117;57.131
Ldb2;5;Clust.5;1.06141839543671e-128;18.114
Abca5;5;Clust.5;5.29529646358725e-95;17.739
Ext1;5;Clust.5;1.35654885152863e-91;45.124
Slit2;5;Clust.5;1.06316734307818e-41;33.568
Cpne2;5;Clust.5;6.76405486626788e-45;11.564
Tcea3;5;Clust.5;4.34124683378872e-49;9.615
Pea15a;5;Clust.5;8.02179640676905e-59;49.92
Fam163a;5;Clust.5;4.95708892309911e-97;15.27
Wnt2b;5;Clust.5;1.29989616056348e-70;8.499
Nrip1;5;Clust.5;3.32877337485471e-82;34.5
Rnf182;5;Clust.5;7.54633656767693e-82;24.249
Tspan18;5;Clust.5;1.28403426036856e-65;27.338
Bmp7;5;Clust.5;3.0374912641703e-54;24.8
H2-Ke6;5;Clust.5;4.55807461881192e-58;27.673
Loxl1;5;Clust.5;7.15704162506076e-78;16.922
Smarca1;5;Clust.5;1.00716742404676e-46;27.133
Itpr1;5;Clust.5;1.33229256141167e-75;23.841
Prtg;5;Clust.5;8.25078575272071e-48;18.473
3110082J24Rik;5;Clust.5;5.53623464713249e-48;21.724
Rftn1;5;Clust.5;6.17141515118412e-68;14.491
Erbb4;5;Clust.5;7.49161388093045e-46;6.557
Tcf12;5;Clust.5;8.31627558147896e-45;56.595
Ccdc190;5;Clust.5;9.52788094980967e-50;8.554
Cdyl;5;Clust.5;2.26658768449599e-87;33.999
Armcx1;5;Clust.5;4.33984145693156e-59;25.861
Dusp5;5;Clust.5;7.83789206191891e-46;16.376
Tspan33;5;Clust.5;1.03066660259837e-51;12.291
Pde5a;5;Clust.5;1.87331964134129e-41;20.597
Fgfr1;5;Clust.5;5.82342295398213e-55;21.623
Cuedc1;5;Clust.5;1.53186608976291e-50;34.315
Spcs2;5;Clust.5;4.20994658935884e-59;62.187
Mlc1;5;Clust.5;2.46651639472937e-46;11.601
Zfp521;5;Clust.5;5.57246090192497e-65;25.277
